Zone,oursin_mean_ind_m2,oursin_sd_ind_m2,n_stations_oursin,IC_oursin,clam_mean_ind_ha,IC_benitier,n_stations_benitier,statut_COTS
Baie de Ranobe,0.4396,1.1985,25,0.2512,512.5,1.0,8,Absence non confirmée écologiquement (gap de protocole)
Paysage Mahafaly,1.1095,1.0261,19,0.634,490.9091,1.0,11,Présence confirmée — 3 sites, 4 observations, densité non quantifiable
Sambele,0.1133,0.0577,3,0.0648,900,1.0,2,Absence non confirmée écologiquement (gap de protocole)
Soariake,1.57,2.1672,7,0.8971,800,1.0,4,Absence non confirmée écologiquement (gap de protocole)
Teariake,0.0525,0.105,4,0.03,250,1.0,2,Absence non confirmée écologiquement (gap de protocole)
Velondriake,2.6405,2.9529,21,1.0,966.6667,1.0,6,Absence non confirmée écologiquement (gap de protocole)
